episode,return_maxsnr,return_fed,return_diff
0,290483521112.1816,285393723263.5655,-5089797848.616089
1,331719324607.4733,330617827863.93146,-1101496743.54187
2,298858661593.2071,296529422810.18274,-2329238783.024353
3,349077263749.7407,349722691804.46106,645428054.7203369
4,360296006829.9377,361963373191.0422,1667366361.1044922
5,396398297429.84326,396540072516.63293,141775086.78967285
6,350175834160.8892,340295446734.4171,-9880387426.472107
7,330300424583.3025,335031702028.2871,4731277444.984619
8,370512378301.4507,345087532200.35095,-25424846101.09973
9,367039839165.17865,366428493194.11395,-611345971.0646973
10,333405301275.71295,304031150156.63947,-29374151119.073486
11,260883123156.31757,255217409278.8017,-5665713877.515869
12,410697322939.9356,406660970424.1971,-4036352515.7385254
13,385649582197.75574,380193642617.2272,-5455939580.528564
14,271392692426.6218,249163304130.67413,-22229388295.947662
15,284597966919.88086,277178870539.57086,-7419096380.309998
16,438402083111.23627,434892055828.6628,-3510027282.5734863
17,330377815852.3711,329604794974.07776,-773020878.293335
18,338323392757.92993,335909347789.1163,-2414044968.8136597
19,437498085200.6255,433379126052.83014,-4118959147.795349
