episode,return_maxsnr,return_fed,return_diff
0,290483521112.1816,286325674178.81195,-4157846933.369629
1,331719324607.4733,331342621507.99304,-376703099.48028564
2,298858661593.2071,301969897350.44763,3111235757.2405396
3,349077263749.7407,354214463611.9005,5137199862.15979
4,360296006829.9377,361105434149.73456,809427319.796875
5,396398297429.84326,396732721996.2098,334424566.3665161
6,350175834160.8892,354553840721.7184,4378006560.829163
7,330300424583.3025,321871659313.4532,-8428765269.849304
8,370512378301.4507,371653960325.06805,1141582023.6173706
9,367039839165.17865,364640913774.7079,-2398925390.470764
10,333405301275.71295,332013927396.43713,-1391373879.2758179
11,260883123156.31757,258894962481.2717,-1988160675.045868
12,410697322939.9356,410844603007.5072,147280067.57159424
13,385649582197.75574,387528684124.6623,1879101926.9065552
14,271392692426.6218,272875589086.3684,1482896659.7466125
15,284597966919.88086,285190983495.227,593016575.3461304
16,438402083111.23627,445496558262.49365,7094475151.257385
17,330377815852.3711,331583237798.8758,1205421946.5046997
18,338323392757.92993,335692789160.53546,-2630603597.39447
19,437498085200.6255,439257614515.2439,1759529314.6184082
